sampleID,MW
NCGC00013043-07,180.21
NCGC00346527-04,352.35
NCGC00386343-01,394.48
NCGC00182549-06,533.64
NCGC00016526-13,336.37
NCGC00016526-15,336.37
NCGC00167577-01,434.47
NCGC00263570-02,434.47
NCGC00015799-06,353.51
NCGC00378869-05,435.89
NCGC00262945-04,435.89
NCGC00592218-01,215.64
NCGC00163663-03,400.47
NCGC00388290-01,241.25
NCGC00168853-05,426.73
NCGC00522501-01,947.17
NCGC00264025-01,448.38
NCGC00389233-02,295.36
NCGC00592238-01,117.15
NCGC00164613-05,319.41
NCGC00181755-01,452.55
NCGC00093560-17,372.55
NCGC00485069-01,423.52
NCGC00496850-01,211.11
NCGC00015472-02,146.15
NCGC00163333-03,146.15
NCGC00185916-05,453.54
NCGC00346504-08,520.89
NCGC00346504-06,520.89
NCGC00482900-01,504.44
NCGC00255027-01,112.08
NCGC00249052-02,116.12
NCGC00263107-02,548.73
NCGC00015094-17,136.11
NCGC00095787-08,268.23
NCGC00018167-05,285.69
NCGC00164604-12,411.47
NCGC00389774-01,620.64
NCGC00390255-04,472.71
NCGC00015542-18,230.31
NCGC00389274-01,638.66
NCGC00346833-03,237.25
NCGC00160128-02,685.9
NCGC00161670-13,685.9
NCGC00479249-04,473.38
NCGC00537998-01,432.56
NCGC00159447-17,160.1
NCGC00015680-25,232.28
NCGC00091596-07,284.48
NCGC00045818-06,415.8
NCGC00263218-06,270.21
NCGC00178127-06,416.52
NCGC00017013-06,265.36
NCGC00389722-01,467.49
NCGC00178913-15,450.62
NCGC00389835-01,507.18
NCGC00163544-10,357.41
NCGC00142495-03,427.2
NCGC00161666-05,272.39
NCGC00015422-05,272.39
NCGC00249018-03,296.41
NCGC00178054-20,747.96
NCGC00484798-01,383.46
NCGC00164248-05,342.3
NCGC00510443-01,371.35
NCGC00183682-09,509
NCGC00263583-05,476.62
NCGC00017346-08,272.26
NCGC00378990-08,889.02
NCGC00250406-06,489.41
NCGC00389427-01,392.58
NCGC00165962-02,672.87
NCGC00378899-02,405.34
NCGC00167126-02,555.63
NCGC00378907-02,548.07
NCGC00485896-01,344.49
NCGC00484891-01,268.27
NCGC00389750-01,668.67
NCGC00016794-16,250.34
NCGC00092274-02,254.17
NCGC00347140-01,387.87
NCGC00389674-01,460.51
NCGC00345792-01,251.05
NCGC00094856-04,135.13
NCGC00042134-03,207.23
NCGC00161975-01,267.25
NCGC00015385-23,504.64
NCGC00015043-08,103.12
NCGC00016000-23,296.55
NCGC00091149-13,144.21
NCGC00091149-27,144.21
NCGC00091149-26,144.21
NCGC00016011-11,137.18
NCGC00024512-05,185.07
NCGC00142384-02,408.58
NCGC00388427-02,265.25
NCGC00274084-01,131.17
NCGC00345802-06,433.51
NCGC00389666-01,349.52
NCGC00016265-17,441.4
NCGC00094363-07,105.09
NCGC00379222-02,431.25
NCGC00163127-08,326.44
NCGC00017251-06,410.47
NCGC00247877-06,318.77
NCGC00371151-01,411.55
NCGC00370866-07,295.34
NCGC00091546-01,142.11
NCGC00591792-01,366.42
NCGC00378678-01,394.48
NCGC00389370-01,610.57
NCGC00346556-05,361.44
NCGC00014017-03,115.13
NCGC00159564-08,326.35
